Video,Dataset role,Class,Kelvin count,Automatic count,Error (automatic - Kelvin),Absolute error,Percent error
Video 1,Development,Bicycle,0,0,0,0,0.0
Video 1,Development,Bus,0,0,0,0,0.0
Video 1,Development,Car,6,6,0,0,0.0
Video 1,Development,Motorcycle,0,0,0,0,0.0
Video 1,Development,Pedestrian,3,4,1,1,33.33
Video 1,Development,Truck,2,0,-2,2,100.0
Video 2,Development,Bicycle,0,0,0,0,0.0
Video 2,Development,Bus,0,0,0,0,0.0
Video 2,Development,Car,66,68,2,2,3.03
Video 2,Development,Motorcycle,3,2,-1,1,33.33
Video 2,Development,Pedestrian,0,0,0,0,0.0
Video 2,Development,Truck,3,2,-1,1,33.33
Video 3,Development,Bicycle,4,0,-4,4,100.0
Video 3,Development,Bus,5,5,0,0,0.0
Video 3,Development,Car,41,38,-3,3,7.32
Video 3,Development,Motorcycle,0,0,0,0,0.0
Video 3,Development,Pedestrian,5,7,2,2,40.0
Video 3,Development,Truck,1,1,0,0,0.0
Video 4,Evaluation,Bicycle,0,0,0,0,0.0
Video 4,Evaluation,Bus,4,4,0,0,0.0
Video 4,Evaluation,Car,212,213,1,1,0.47
Video 4,Evaluation,Motorcycle,3,1,-2,2,66.67
Video 4,Evaluation,Pedestrian,0,4,4,4,
Video 4,Evaluation,Truck,20,14,-6,6,30.0
